LFQ intensity 401#1,LFQ intensity 401#2,LFQ intensity 401#3,LFQ intensity 401#4,LFQ intensity WT#1,LFQ intensity WT#2,LFQ intensity WT#3,LFQ intensity WT#4,C: Only identified by site,C: Reverse,C: Potential contaminant,C: Student's T-test Significant MT_WT,C: Student's T-test significant,N: Peptides,N: Razor + unique peptides,N: Unique peptides,N: Sequence coverage [%],N: Unique + razor sequence coverage [%],N: Unique sequence coverage [%],N: Mol. weight [kDa],N: Q-value,N: Score,N: Intensity,N: MS/MS count,N: -Log Student's T-test p-value MT_WT,N: Student's T-test q-value MT_WT,N: Student's T-test Difference MT_WT,N: Student's T-test Test statistic MT_WT,T: Protein IDs,T: Majority protein IDs,T: id,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Keywords
28.6327,28.775,29.3897,29.8376,29.1785,29.8072,30.3107,30.0276,,,,,,6,6,6,38.9,38.9,38.9,16.155,0,107.07,6715200000,55,0.927122,0.139973,-0.672252,-1.40042,A6T4G2,A6T4G2,11,A6T4G2_KLEP7,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),fkpB KPN_00023,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),149,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755],Isomerase;Rotamase
29.6041,29.7024,29.2024,29.4127,28.9892,29.0731,29.8661,29.5752,,,,,,9,9,9,31.3,31.3,31.3,34.447,0,146.08,5953300000,50,0.171813,0.746911,0.104501,0.301178,A6T4G3,A6T4G3,12,ISPH_KLEP7,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4),ispH KPN78578_00230 KPN_00024,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),316,"dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]",,"4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity [GO:0051745]; metal ion binding [GO:0046872]",4Fe-4S;Iron;Iron-sulfur;Isoprene biosynthesis;Metal-binding;Oxidoreductase
30.9339,31.0448,31.0607,31.2093,31.0902,31.2577,30.8885,31.2706,,,,,,16,16,16,61.5,61.5,61.5,28.647,0,159.85,19233000000,151,0.2487,0.750728,-0.0645823,-0.297731,A6T4H8,A6T4H8,13,DAPB_KLEP7,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),dapB KPN78578_00380 KPN_00039,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),273,diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089],cytoplasm [GO:0005737],"4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]",Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Lysine biosynthesis;NAD;NADP;Oxidoreductase
28.3486,28.336,28.5051,28.3879,27.8225,27.6284,28.0298,27.8653,,,,+,MT_WT,6,6,6,25.8,25.8,25.8,42.165,0,9.9329,2450800000,12,3.06344,0.0244,0.557905,2.75971,A6T4H9,A6T4H9,14,A6T4H9_KLEP7,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain),carA KPN_00040,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),391,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541],,ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088],Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Glutamine amidotransferase;Ligase;Nucleotide-binding;Pyrimidine biosynthesis
29.7306,29.805,29.9484,30.0961,30.3978,30.1224,30.2701,30.0313,,,,,,31,31,31,37.9,37.9,37.9,118,0,107,8945100000,85,1.45749,0.145109,-0.310382,-1.37689,A6T4I0,A6T4I0,15,A6T4I0_KLEP7,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),carB KPN_00041,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),1074,'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526],,ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872],Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Repeat
27.8266,28.1958,27.4424,27.8341,27.5001,26.7078,28.0449,27.9311,,,,,,4,4,4,46.8,46.8,46.8,8.2341,0,40.423,1751500000,21,0.353152,0.503572,0.278734,0.618127,A6T4I1,A6T4I1,16,A6T4I1_KLEP7,YgdI/YgdR family lipoprotein,ygdI KPN_00042,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),77,,plasma membrane [GO:0005886],,Cell membrane;Lipoprotein;Membrane;Palmitate;Signal
26.4403,26.9796,27.3343,27.0691,28.0955,26.4651,27.3891,27.0357,,,,,,3,3,3,33.5,33.5,33.5,17.889,0,9.7855,1206200000,3,0.315455,0.526525,-0.290534,-0.580631,A6T4I2,A6T4I2,17,A6T4I2_KLEP7,Glutathione-regulated potassium-efflux system ancillary protein,yabF KPN_00043,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),158,,,,
29.5061,28.8913,29.2688,29.4909,29.6225,29.7052,30.189,29.592,,,,,,8,8,8,42.1,42.1,42.1,17.965,0,44.586,6573100000,66,1.29741,0.1052,-0.487879,-1.56881,A6T4I4,A6T4I4,18,A6T4I4_KLEP7,Dihydrofolate reductase (EC 1.5.1.3),folA KPN_00045,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),159,glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654],,dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661],NADP;One-carbon metabolism;Oxidoreductase
26.8176,27.0514,27.5999,27.4049,27.1312,28.9742,28.2961,28.077,,,,,,6,6,6,33,33,33,31.607,0,40.182,2015800000,26,1.12407,0.0885212,-0.901166,-1.69926,A6T4I5,A6T4I5,19,APAH_KLEP7,"Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)",apaH KPN78578_00450 KPN_00046,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),282,,,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity [GO:0008803],Hydrolase
27.4786,26.8304,26.9576,26.6204,27.3837,27.3141,27.3569,27.7093,,,,,,3,3,3,19.3,19.3,19.3,13.335,0,5.4074,1353500000,17,1.21463,0.120699,-0.469217,-1.48954,A6T4I6,A6T4I6,20,A6T4I6_KLEP7,Protein ApaG,apaG KPN_00047,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),119,,,,
29.0201,29.0389,28.6771,29.7052,29.6023,29.2219,29.3449,29.55,,,,,,10,10,10,53.1,53.1,53.1,30.582,0,42.792,5460500000,41,0.659841,0.308335,-0.319419,-0.929235,A6T4I7,A6T4I7,21,RSMA_KLEP7,"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)",rsmA ksgA KPN78578_00470 KPN_00048,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),273,,cytoplasm [GO:0005737],16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723],Cytoplasm;Methyltransferase;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase
27.1976,27.1567,27.6476,27.3508,27.3057,27.8333,28.1006,27.9696,,,,,,6,6,6,35,35,35,35.133,0,22.409,1651300000,22,1.18094,0.127118,-0.464157,-1.46014,A6T4I8,A6T4I8,22,A6T4I8_KLEP7,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase),pdxA KPN_00049,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),329,pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615],cytoplasm [GO:0005737],4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; cobalt ion binding [GO:0050897]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270],Cobalt;Cytoplasm;Magnesium;Metal-binding;NAD;NADP;Oxidoreductase;Pyridoxine biosynthesis;Zinc
31.9964,32.1099,31.8313,31.9314,32.2549,32.1664,31.9076,32.1356,,,,,,23,23,23,67.5,67.5,67.5,47.062,0,323.31,36763000000,235,0.781756,0.430271,-0.148877,-0.724983,A6T4I9,A6T4I9,23,A6T4I9_KLEP7,Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA),surA KPN_00050,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),428,Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; protein folding [GO:0006457]; protein stabilization [GO:0050821],outer membrane-bounded periplasmic space [GO:0030288],peptide binding [GO:0042277]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082],Chaperone;Isomerase;Periplasm;Repeat;Rotamase;Signal
32.6521,32.6632,32.6716,32.6826,32.646,32.6112,32.7626,32.7005,,,,,,41,41,41,63,63,63,88.487,0,323.31,56691000000,334,0.142891,0.926318,-0.0126829,-0.0875875,A6T4J0,A6T4J0,24,A6T4J0_KLEP7,LPS-assembly protein LptD,imp lptD KPN_00051,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),782,Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]; response to organic substance [GO:0010033],cell outer membrane [GO:0009279],,Cell outer membrane;Disulfide bond;Membrane;Signal
28.5944,28.3745,28.8297,28.0394,28.1697,28.0605,27.7751,27.8447,,,,,,9,9,9,34.5,34.5,34.5,30.959,0,27.987,2651800000,30,1.38733,0.0949455,0.497003,1.64193,A6T4J1,A6T4J1,25,A6T4J1_KLEP7,Co-chaperone protein DjlA,djlA KPN_00052,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),275,,plasma membrane [GO:0005886],protein-folding chaperone binding [GO:0051087],Cell inner membrane;Cell membrane;Chaperone;Membrane;Transmembrane;Transmembrane helix
32.0286,32.0705,32.0158,31.8334,31.8528,32.1595,31.8291,31.981,,,,,,40,40,40,51.7,51.7,51.7,109.61,0,323.31,35095000000,263,0.128342,0.874082,0.0314999,0.154977,A6T4J7,A6T4J7,27,RAPA_KLEP7,RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA),rapA KPN78578_00570 KPN_00058,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),968,regulation of DNA-templated transcription [GO:0006355],,"ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity, acting on acid anhydrides [GO:0016817]",Activator;ATP-binding;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Transcription;Transcription regulation
27.0151,27.2902,26.6096,26.771,27.3141,26.7572,27.4336,27.254,,,,,,7,7,7,33,33,33,36.091,0,19.507,1139200000,7,0.603313,0.359906,-0.268238,-0.834602,A6T4K6,A6T4K6,28,A6T4K6_KLEP7,Thiamine-binding periplasmic protein,tbpA KPN_00067,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),327,thiamine transport [GO:0015888],outer membrane-bounded periplasmic space [GO:0030288],thiamine binding [GO:0030975],Periplasm;Signal;Transport
27.0552,27.2417,27.3336,27.5292,27.6837,26.7961,27.4839,27.033,,,,,,7,7,7,39,39,39,27.251,0,12.712,1356400000,11,0.0641141,0.902409,0.0407639,0.120953,A6T4L2,A6T4L2,29,AROD_KLEP7,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1),aroD KPN78578_00720 KPN_00073,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),251,"3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]",,3-dehydroquinate dehydratase activity [GO:0003855],Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Schiff base
30.2289,29.7729,29.9385,29.6551,29.6106,29.3734,29.4396,29.3497,,,,,,3,3,3,9,9,9,49.828,0,4.7066,7218900000,10,1.78958,0.0731274,0.455518,1.83102,A6T4L7,A6T4L7,30,LEUC_KLEP7,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),leuC KPN78578_00770 KPN_00078,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),466,leucine biosynthetic process [GO:0009098],,"3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]",4Fe-4S;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Iron;Iron-sulfur;Leucine biosynthesis;Lyase;Metal-binding
26.2863,27.5195,27.3038,27.0638,26.7529,27.4656,28.4969,27.8931,,,,,,6,6,6,15.3,15.3,15.3,63.071,0,22.226,1441500000,18,0.639562,0.241969,-0.608739,-1.07551,A6T4M1,A6T4M1,31,A6T4M1_KLEP7,Acetolactate synthase (EC 2.2.1.6),ilvI KPN_00082,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),574,isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],,acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976],Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Magnesium;Metal-binding;Thiamine pyrophosphate;Transferase
30.125,30.2633,30.0965,29.8868,30.0594,29.5931,29.7889,29.5875,,,,,,7,7,7,28.4,28.4,28.4,38.095,0,54.358,8450300000,62,1.3178,0.150405,0.335628,1.36054,A6T4M3,A6T4M3,33,A6T4M3_KLEP7,Catabolite repressor/activator (Fructose repressor),fruR KPN_00084,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),334,regulation of DNA-templated transcription [GO:0006355]; response to fructose [GO:0009750],,DNA binding [GO:0003677],DNA-binding;Transcription;Transcription regulation
26.1904,26.1122,26.1136,26.2806,NaN,26.0963,26.4591,26.0947,,,,,,4,4,4,28.3,28.3,28.3,17.34,0,8.2996,553800000,6,0.142805,0.844861,-0.0424676,-0.19048,A6T4M4,A6T4M4,34,MRAZ_KLEP7,Transcriptional regulator MraZ,mraZ KPN78578_00840 KPN_00085,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),152,,cytoplasm [GO:0005737]; nucleoid [GO:0009295],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],Cytoplasm;DNA-binding;Repeat;Repressor;Transcription;Transcription regulation
30.4786,30.4119,30.3962,30.65,30.59,30.5341,30.7536,30.4871,,,,,,11,11,11,47.9,47.9,47.9,34.839,0,68.537,13112000000,82,0.619118,0.54948,-0.107023,-0.553832,A6T4M5,A6T4M5,35,RSMH_KLEP7,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),rsmH mraW KPN78578_00850 KPN_00086,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),313,rRNA base methylation [GO:0070475],cytoplasm [GO:0005737],rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424],Cytoplasm;Methyltransferase;rRNA processing;S-adenosyl-L-methionine;Transferase
28.904,29.1457,29.1818,29.4017,28.6374,29.4163,29.1963,28.7651,,,,,,13,13,13,26.9,26.9,26.9,64.002,0,40.394,4752000000,23,0.31239,0.602347,0.15454,0.48314,A6T4M7,A6T4M7,36,A6T4M7_KLEP7,"Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Penicillin-binding protein 3) (PBP-3)",ftsI KPN_00088,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),588,cell wall organization [GO:0071555]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360],plasma membrane [GO:0005886],penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002],Carboxypeptidase;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Septation;Transmembrane;Transmembrane helix
31.9263,31.8232,31.6515,31.8353,31.8881,31.94,31.8425,31.8689,,,,,,23,23,23,57.2,57.2,57.2,53.328,0,202.25,31739000000,227,0.585397,0.633278,-0.0758333,-0.440782,A6T4M8,A6T4M8,37,A6T4M8_KLEP7,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",murE KPN_00089,Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),495,cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],cytoplasm [GO:0005737],"ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]",ATP-binding;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Ligase;Magnesium;Nucleotide-binding;Peptidoglycan synthesis
