Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
LFQ intensity WT#4	Keywords	rRNA-binding	36	0.808645899554991	9.85087084718816E-17	6.37843887355434E-15	34.4311735365126	34.9492778778076
LFQ intensity WT#4	Keywords	Proteinbiosynthesis	44	0.651350566366541	1.60534467968042E-13	8.31568544074455E-12	33.1402505527843	33.4752159118652
LFQ intensity WT#1	Keywords	Proteinbiosynthesis	44	0.648172476207158	2.11058415347043E-13	1.09328259149768E-11	33.2220738150857	33.7152843475342
LFQ intensity 401#3	Keywords	Proteinbiosynthesis	44	0.646920258244634	2.33944476439311E-13	1.21183238795563E-11	33.1402785127813	33.3542461395264
LFQ intensity 401#1	Keywords	Proteinbiosynthesis	44	0.646930342384888	2.3642970620468E-13	1.22470587814024E-11	33.2398607514121	33.678747177124
LFQ intensity WT#2	Keywords	Proteinbiosynthesis	44	0.644628099173554	2.83984194256304E-13	1.47103812624766E-11	33.1725695349953	33.7256469726563
LFQ intensity 401#4	Keywords	Proteinbiosynthesis	44	0.638142165723949	4.89729963698533E-13	2.5368012119584E-11	33.1022929278287	33.3158531188965
LFQ intensity 401#2	Keywords	Proteinbiosynthesis	44	0.635776747461706	5.99155771515516E-13	3.10362689645037E-11	33.1474930156361	33.3685321807861
LFQ intensity WT#3	Keywords	Proteinbiosynthesis	44	0.635215496938295	6.29254103216231E-13	3.25953625466008E-11	33.1109278852289	33.4170436859131
LFQ intensity 401#3	Keywords	Cytoplasm	282	0.235846380302422	4.75431528294782E-10	2.05227943047247E-08	30.9790674101376	30.9001989364624
LFQ intensity WT#4	Keywords	Aminoacyl-tRNAsynthetase	24	0.731545741324921	7.32107830197698E-10	3.16026546702006E-08	33.395294268926	33.7316665649414
LFQ intensity 401#4	Keywords	Cytoplasm	281	0.233217221830398	7.87880534430341E-10	3.40101764029097E-08	30.9727164909933	30.9365615844727
LFQ intensity 401#1	Keywords	Cytoplasm	281	0.233225816142873	8.26713419177598E-10	3.56864625944997E-08	31.0349488512901	31.0057106018066
LFQ intensity 401#3	Keywords	Aminoacyl-tRNAsynthetase	24	0.726100231627711	9.77247789886564E-10	3.61581682258029E-08	33.3975529670715	33.741382598877
LFQ intensity 401#4	Keywords	Aminoacyl-tRNAsynthetase	24	0.723981422841461	1.09352539227694E-09	4.04604395142466E-08	33.3742525577545	33.7405815124512
LFQ intensity WT#1	Keywords	Aminoacyl-tRNAsynthetase	24	0.72217818642993	1.20270413937354E-09	5.19167286829579E-08	33.4454839229584	33.8070697784424
LFQ intensity WT#2	Keywords	Aminoacyl-tRNAsynthetase	24	0.721291613990729	1.2588024354368E-09	5.43383051296887E-08	33.413472811381	33.758487701416
LFQ intensity 401#1	Keywords	Aminoacyl-tRNAsynthetase	24	0.720833333333333	1.29476818477855E-09	4.79064228368064E-08	33.4846894741058	33.9033470153809
LFQ intensity 401#2	Keywords	Cytoplasm	280	0.228848873898379	1.74713974605361E-09	7.54181990379808E-08	30.9859605176108	30.9998683929443
LFQ intensity WT#3	Keywords	Aminoacyl-tRNAsynthetase	24	0.711796675191816	2.07155902723545E-09	8.94222980089968E-08	33.3247388998667	33.7012958526611
LFQ intensity 401#2	Keywords	Aminoacyl-tRNAsynthetase	24	0.710165710643722	2.25182028466063E-09	8.33173505324433E-08	33.3535162607829	33.7050342559814
LFQ intensity WT#4	Keywords	Cytoplasm	282	0.220502172553672	5.79222605843778E-09	2.14312364162198E-07	30.9635343957455	30.9334020614624
LFQ intensity WT#2	Keywords	Cytoplasm	283	0.218280009294648	7.88726086903705E-09	2.91828652154371E-07	30.9661362718778	31.0037689208984
LFQ intensity WT#1	Keywords	Cytoplasm	281	0.218135986196484	8.97411333934418E-09	3.32042193555735E-07	30.978330890479	30.923656463623
LFQ intensity WT#3	Keywords	Cytoplasm	280	0.214774464831804	1.62699709681928E-08	6.01988925823135E-07	31.003143126624	30.8868541717529
Student's T-test Difference MT_WT	Keywords	Ribosomalprotein	52	0.447032546266752	3.98892761670678E-08	1.03313225272705E-05	0.264055545513447	0.194491386413574
Student's T-test Difference MT_WT	Keywords	Ribonucleoprotein	53	0.437167160654474	5.96607322816642E-08	7.72606483047552E-06	0.257831141633807	0.192011833190918
LFQ intensity 401#3	Keywords	Ligase	60	0.39752208575738	1.68431530955509E-07	5.45297081468459E-06	31.7045910199483	32.6914310455322
Student's T-test Difference MT_WT	Keywords	rRNA-binding	36	0.508282445427108	1.77425974142433E-07	1.531777576763E-05	0.29638844066196	0.264737129211426
LFQ intensity 401#2	Keywords	Ligase	60	0.393172428788867	2.30309918843055E-07	7.45628362254392E-06	31.7062704404195	32.747163772583
LFQ intensity 401#4	Keywords	Ligase	60	0.388226398790235	3.24550549518206E-07	1.05073240406519E-05	31.6611808141073	32.6688060760498
LFQ intensity WT#4	Keywords	Ligase	60	0.388196686034	3.24575816521512E-07	1.05081420598839E-05	31.7012374242147	32.6816558837891
LFQ intensity 401#1	Keywords	Ligase	60	0.386734470691163	3.6230918472581E-07	1.17297598554981E-05	31.6875834782918	32.7960338592529
Student's T-test Difference MT_WT	Keywords	RNA-binding	66	0.367499853655681	4.12455965575246E-07	2.67065237709972E-05	0.211408952269891	0.18116283416748
LFQ intensity WT#2	Keywords	Ligase	60	0.382880551962053	4.69333619615015E-07	1.51946759350361E-05	31.6891733169556	32.6826400756836
LFQ intensity WT#1	Keywords	Ligase	60	0.375978801643954	7.52436511434334E-07	2.43601320576866E-05	31.6483816464742	32.707405090332
LFQ intensity 401#2	Keywords	Glycolysis	12	0.821210204511912	9.24198279297202E-07	2.65963727042195E-05	34.8033998807271	34.8317813873291
LFQ intensity 401#4	Keywords	Glycolysis	12	0.81803896920176	1.01708691212363E-06	2.92695011377799E-05	34.6604135831197	34.5739822387695
LFQ intensity WT#1	Keywords	Glycolysis	12	0.81739039228026	1.03742783088513E-06	2.98548675776942E-05	34.7397046089172	34.7690238952637
LFQ intensity 401#2	Keywords	Chaperone	25	0.567755102040816	1.07909008679552E-06	2.79484332480039E-05	33.1218199157715	32.468204498291
LFQ intensity WT#4	Keywords	Glycolysis	12	0.81141724065957	1.24205447347864E-06	3.5743567625663E-05	34.635333220164	34.6470832824707
LFQ intensity 401#1	Keywords	Glycolysis	12	0.81128074639525	1.24912876240011E-06	3.59471499401809E-05	34.7661881446838	34.8154487609863
LFQ intensity 401#3	Keywords	Glycolysis	12	0.809299895506792	1.32390672149326E-06	3.80990934296395E-05	34.6262124379476	34.5992584228516
LFQ intensity WT#2	Keywords	Glycolysis	12	0.809284818067754	1.32458833941648E-06	3.81187088787632E-05	34.6597099304199	34.641077041626
LFQ intensity WT#3	Keywords	Glycolysis	12	0.80742385786802	1.40224525353251E-06	4.53976900831151E-05	34.6821514765422	34.5839691162109
LFQ intensity WT#3	Keywords	Ligase	60	0.364768760907504	1.59434549245408E-06	4.58817202828452E-05	31.6665967623393	32.6580924987793
LFQ intensity 401#4	Keywords	Chaperone	26	0.546753816886981	1.68464126218202E-06	4.36322086905144E-05	32.9397401809692	32.4476280212402
LFQ intensity 401#3	Keywords	Chaperone	26	0.53943463241376	2.31260897652335E-06	5.98965724919549E-05	32.9121712171114	32.3121471405029
LFQ intensity 401#1	Keywords	Chaperone	26	0.535351041769527	2.76362029694209E-06	7.15777656908E-05	32.9984314258282	32.4188346862793
LFQ intensity WT#4	Keywords	Chaperone	26	0.526118859031051	4.076774712839E-06	0.00010558846506253	32.7414561051589	32.3333110809326
LFQ intensity WT#2	Keywords	Chaperone	26	0.518646543330088	5.57444290724404E-06	0.000144378071297621	32.7505697103647	32.2141990661621
LFQ intensity WT#3	Keywords	Transmembrane	71	-0.316906050674515	6.21054265582517E-06	0.000160853054785872	28.8756910512145	28.2419090270996
LFQ intensity WT#1	Keywords	Chaperone	26	0.515555555555556	6.33974340080419E-06	0.000164199354080828	32.7684766329252	32.3397026062012
LFQ intensity WT#3	Keywords	Chaperone	26	0.515118684132769	6.46481398402404E-06	0.000152216983805657	32.7987700242263	32.3347015380859
LFQ intensity 401#1	Keywords	tRNA-binding	11	0.752528463272265	1.65819449261064E-05	0.000390429430532868	34.3604021939364	34.500415802002
LFQ intensity 401#1	Keywords	Transmembrane	71	-0.30096906621487	1.77411937885653E-05	0.000382914099269867	28.7566541752345	28.0902786254883
LFQ intensity 401#2	Keywords	tRNA-binding	11	0.749569015055741	1.78908596562779E-05	0.000421248422815998	34.2474474473433	34.2725296020508
LFQ intensity 401#3	Keywords	tRNA-binding	11	0.740829346092504	2.23687880058154E-05	0.000526683281227835	34.1729543859308	34.2413291931152
LFQ intensity 401#2	Keywords	Transmembrane	69	-0.298889269276123	2.613301253545E-05	0.000564037520556796	28.7577011550682	28.1381435394287
LFQ intensity 401#4	Keywords	Transmembrane	70	-0.290811667132606	3.78979160333794E-05	0.000892323659331389	28.8511475971767	28.1006383895874
LFQ intensity WT#4	Keywords	tRNA-binding	11	0.715894868585732	4.18271155818968E-05	0.000984838448701026	33.9370339133523	34.2836799621582
LFQ intensity 401#4	Keywords	tRNA-binding	11	0.714253083599817	4.35681060260124E-05	0.000940344955061435	34.0191275856712	34.2586288452148
LFQ intensity WT#2	Keywords	tRNA-binding	11	0.699173553719008	6.29629157790281E-05	0.00148249047152439	33.900783365423	34.2941970825195
LFQ intensity WT#4	Keywords	Nucleotide-binding	225	0.165234425176622	6.88503175590677E-05	0.00148601935398321	30.7803033955892	30.6567649841309
LFQ intensity WT#3	Keywords	tRNA-binding	11	0.679022309333026	0.0001019391073877	0.00220018573445118	33.8794656233354	33.8982543945313
LFQ intensity 401#3	Keywords	Nucleotide-binding	227	0.15897337674775	0.000121433883260881	0.00262094798038067	30.6778789469849	30.614387512207
LFQ intensity 401#3	Keywords	Transmembrane	70	-0.270099451621898	0.000129859402943965	0.00258719887403746	28.9513348170689	28.4588441848755
LFQ intensity WT#3	Keywords	Transmembranehelix	49	-0.313972762594316	0.000179428332643311	0.00357476447343211	28.801772020301	28.025857925415
LFQ intensity 401#2	Keywords	Nucleotide-binding	227	0.152720893183093	0.000224802613150243	0.004478759754301	30.6471790448159	30.6078777313232
LFQ intensity WT#3	Keywords	Nucleotide-binding	226	0.152482684235832	0.000237025766958493	0.00438497668873211	30.7731373373386	30.7134943008423
LFQ intensity 401#1	Keywords	Nucleotide-binding	224	0.152038471638655	0.000261382726862885	0.00520754817365287	30.6618329286575	30.6364040374756
LFQ intensity 401#4	Keywords	Nucleotide-binding	227	0.149261090052249	0.000308955156331966	0.00615533734538302	30.6563077918233	30.6255779266357
LFQ intensity WT#4	Keywords	Referenceproteome	1597	0.600292214568984	0.000334270242407206	0.00665969175257433	30.1338584842574	29.9508819580078
LFQ intensity WT#4	Keywords	Completeproteome	1597	0.600292214568984	0.000334270242407206	0.0061839994845333	30.1338584842574	29.9508819580078
Student's T-test Difference MT_WT	Keywords	4Fe-4S	26	0.406972813752475	0.000364956007405813	0.0189047211836211	0.260789027580848	0.274497270584106
LFQ intensity WT#3	Keywords	GTP-binding	24	0.419277493606138	0.000416204550131583	0.00718646523227199	32.1968503793081	31.7937726974487
LFQ intensity WT#1	Keywords	Transmembrane	71	-0.24701279572862	0.00042654676653509	0.0100432375029626	29.0393886566162	28.5649642944336
LFQ intensity WT#2	Keywords	GTP-binding	25	0.409386464263124	0.000437123453623693	0.00943458120737803	32.1124887084961	31.3939685821533
LFQ intensity WT#4	Keywords	Transmembrane	72	-0.243647437287645	0.000467447307415989	0.00807125684138274	29.1426315837436	28.6526956558228
LFQ intensity WT#3	Keywords	Transcriptionregulation	79	-0.232839251411363	0.000477418603653846	0.00772821364664664	28.9390641224535	28.958423614502
LFQ intensity WT#2	Keywords	Nucleotide-binding	226	0.144449788380146	0.000491243605234281	0.00978708413505221	30.6842157904026	30.7021808624268
LFQ intensity 401#4	Keywords	Referenceproteome	1591	0.582757175780432	0.000497042908598909	0.00919529380907981	30.0781684254491	29.9243659973145
LFQ intensity 401#4	Keywords	Completeproteome	1591	0.582757175780432	0.000497042908598909	0.00858227422180782	30.0781684254491	29.9243659973145
LFQ intensity WT#2	Keywords	Transmembrane	72	-0.241806098797624	0.000516301743860575	0.00955158226142063	29.1161305639479	28.5788631439209
LFQ intensity WT#1	Keywords	tRNA-binding	11	0.603659233847913	0.000550811370897379	0.0118883454218684	33.5587983564897	34.3569145202637
LFQ intensity WT#3	Keywords	Oxidoreductase	109	0.194248531427756	0.000701835667847012	0.0106926728219045	31.003633341658	31.0222759246826
LFQ intensity WT#4	Keywords	ATP-binding	192	0.150100711597271	0.000725899903621709	0.0117505046898764	30.7104323705037	30.4683980941772
LFQ intensity WT#1	Keywords	Nucleotide-binding	224	0.140201914098973	0.000752859569925637	0.0149992791239031	30.6567240868296	30.7379455566406
LFQ intensity 401#4	Keywords	GTP-binding	25	0.391837769328264	0.000763221445715332	0.0123546471525169	32.0094287872314	31.6892910003662
LFQ intensity WT#4	Keywords	GTP-binding	25	0.391262626262626	0.00077671401115619	0.011833466405262	32.0145149993896	31.2876358032227
LFQ intensity 401#3	Keywords	ATP-binding	194	0.146292526685199	0.000938468144798222	0.0173616606787671	30.6201873661317	30.4009914398193
LFQ intensity 401#3	Keywords	GTP-binding	25	0.384424778761062	0.000959326288065394	0.0165643672405958	31.9780563354492	31.689582824707
LFQ intensity 401#2	Keywords	Transcriptionregulation	79	-0.220022406902664	0.000963034574221242	0.017816139623093	28.8462412870383	28.8354511260986
LFQ intensity WT#3	Keywords	CF(1)	5	0.85142135186355	0.000997222568874291	0.0143489247410245	34.5896965026855	33.7626762390137
LFQ intensity 401#1	Keywords	Elongationfactor	8	0.671637055837563	0.0010344663196122	0.0191376269128256	34.3986005783081	34.1972389221191
LFQ intensity 401#2	Keywords	Elongationfactor	8	0.668769716088328	0.0010868339119235	0.0187659988792124	34.4020955562592	34.3697566986084
LFQ intensity 401#4	Keywords	CF(1)	5	0.837797246558198	0.00120075654955557	0.0182938791961701	34.414673614502	33.640869140625
LFQ intensity WT#3	Keywords	Completeproteome	1580	0.65996835443038	0.00126412430366717	0.0172320102447262	30.1772048334532	30.0737390518188
LFQ intensity WT#3	Keywords	Referenceproteome	1580	0.65996835443038	0.00126412430366717	0.0163704097324899	30.1772048334532	30.0737390518188
LFQ intensity 401#3	Keywords	Completeproteome	1596	0.557644110275689	0.00141562521169135	0.0192972068330558	30.0638175966746	29.9220972061157
LFQ intensity 401#4	Potential contaminant	+	8	-0.631034482758621	0.00205104357752898	0.00205104357752898	27.0640122890472	26.99742603302
LFQ intensity WT#4	Potential contaminant	+	8	-0.618519675202998	0.00251414252679879	0.00251414252679879	27.2307069301605	27.2665510177612
Student's T-test Difference MT_WT	Student's T-test Significant MT_WT	+	177	-0.121316125594552	0.00835219409779068	0.00835219409779068	-0.192958577653558	-0.559979915618896
Student's T-test Difference MT_WT	Student's T-test significant	MT_WT	177	-0.121316125594552	0.00835219409779068	0.00835219409779068	-0.192958577653558	-0.559979915618896
LFQ intensity 401#3	Potential contaminant	+	7	-0.575535714285714	0.00851673453015054	0.00851673453015054	27.3744760240827	26.9876098632813
LFQ intensity WT#2	Potential contaminant	+	8	-0.51392365456821	0.0120512054380094	0.0120512054380094	27.7918400764465	27.8443775177002
LFQ intensity WT#3	Potential contaminant	+	5	-0.606064434617814	0.0191375000407356	0.0191375000407356	27.561498260498	27.1803493499756
